Test Case,Mode,Total Recs,Total Rel,MRR,MAP,P@3,NDCG@3,P@5,NDCG@5,P@10,NDCG@10
AUTO_INDIAN_HOME,Auto,30,27.0,1.0,0.8944353769022008,1.0,1.0,0.8,0.8687949224876582,0.9,0.9148568823583791
SMART_SOUTH_NORTH,Smart,30,3.0,1.0,0.5254901960784314,0.3333333333333333,0.46927872602275644,0.4,0.6508205185601091,0.2,0.6508205185601091
SMART_MUSCLE_BUILD,Smart,30,16.0,0.5,0.5037438951086931,0.3333333333333333,0.2960819109658652,0.4,0.360054614577234,0.3,0.3070147303424654
Smart_jain_diet,Smart,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LEARNING_COLD_START,Learning,10,9.0,1.0,0.9282627865961199,1.0,1.0,0.8,0.8687949224876582,0.9,0.9770153702993118
LEARNING_WARM_START,Learning,10,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
